image_id	image_path	image_pt_path	graylevel	original_height	original_width	transcription	transcription_len
a01-007-08	./data/lines/a01/a01-007/a01-007-08.png	./data/lines/a01/a01-007/a01-007-08.pt	203	122	1339	Roy|Welensky|,|the|Federal|Premier|.	36
a01-007x-02	./data/lines/a01/a01-007x/a01-007x-02.png	./data/lines/a01/a01-007x/a01-007x-02.pt	178	173	1817	would|still|favour|the|abolition|of|the|House	45
a01-007x-03	./data/lines/a01/a01-007x/a01-007x-03.png	./data/lines/a01/a01-007x/a01-007x-03.pt	171	147	1823	of|Lords|,|but|while|it|remains|Labour|has|to	45
a01-007x-04	./data/lines/a01/a01-007x/a01-007x-04.png	./data/lines/a01/a01-007x/a01-007x-04.pt	166	147	1801	have|an|adequate|number|of|members|.|THE	40
a01-007x-05	./data/lines/a01/a01-007x/a01-007x-05.png	./data/lines/a01/a01-007x/a01-007x-05.pt	174	143	1968	two|rival|African|Nationalist|Parties|of|Northern	49
a01-007x-06	./data/lines/a01/a01-007x/a01-007x-06.png	./data/lines/a01/a01-007x/a01-007x-06.pt	178	162	1751	Rhodesia|have|agreed|to|get|together|to|face|the	48
a01-007x-07	./data/lines/a01/a01-007x/a01-007x-07.png	./data/lines/a01/a01-007x/a01-007x-07.pt	174	182	1998	challenge|from|Sir|Roy|Welensky|,|the|Federal|Premier|.	55
a01-011-03	./data/lines/a01/a01-011/a01-011-03.png	./data/lines/a01/a01-011/a01-011-03.pt	182	112	1723	to|discuss|a|common|course|of|action|.|Sir|Roy|is	49
a01-011-04	./data/lines/a01/a01-011/a01-011-04.png	./data/lines/a01/a01-011/a01-011-04.pt	182	108	1725	violently|opposed|to|Africans|getting|an|elected|majority	57
a01-011-05	./data/lines/a01/a01-011/a01-011-05.png	./data/lines/a01/a01-011/a01-011-05.pt	182	106	1660	in|Northern|Rhodesia|,|but|the|Colonial|Secretary|,	51
a01-011-06	./data/lines/a01/a01-011/a01-011-06.png	./data/lines/a01/a01-011/a01-011-06.pt	182	112	1763	Mr.|Iain|Macleod|,|is|insisting|on|a|policy|of|change|.	55
a01-011u-05	./data/lines/a01/a01-011u/a01-011u-05.png	./data/lines/a01/a01-011u/a01-011u-05.pt	167	118	1886	course|of|action|.|Sir|Roy|is|violently	39
a01-011x-08	./data/lines/a01/a01-011x/a01-011x-08.png	./data/lines/a01/a01-011x/a01-011x-08.pt	161	200	1595	Macleod|,|is|insisting|on|a|policy|of|change|.	46
a01-014-02	./data/lines/a01/a01-014/a01-014-02.png	./data/lines/a01/a01-014/a01-014-02.pt	182	120	1840	future|.|Said|Mr.|Nkumbula|last|night|:	39
a01-014-03	./data/lines/a01/a01-014/a01-014-03.png	./data/lines/a01/a01-014/a01-014-03.pt	182	130	1745	"|We|want|to|discuss|what|to|do|if|the	38
a01-014-04	./data/lines/a01/a01-014/a01-014-04.png	./data/lines/a01/a01-014/a01-014-04.pt	182	130	1909	British|Government|gives|in|to|Sir|Roy|and	42
a01-014-07	./data/lines/a01/a01-014/a01-014-07.png	./data/lines/a01/a01-014/a01-014-07.pt	182	146	2002	chief|aide|,|Mr.|Julius|Greenfield|,|telephoned	47
a01-014-08	./data/lines/a01/a01-014/a01-014-08.png	./data/lines/a01/a01-014/a01-014-08.pt	182	148	1696	his|chief|a|report|on|his|talks|with	36
a01-014-09	./data/lines/a01/a01-014/a01-014-09.png	./data/lines/a01/a01-014/a01-014-09.pt	182	155	1355	Mr.|Macmillan|at|Chequers|.	27
a01-014u-00	./data/lines/a01/a01-014u/a01-014u-00.png	./data/lines/a01/a01-014u/a01-014u-00.pt	166	117	1591	Sir|Roy's|United|Federal|Party|is	33
a01-014u-01	./data/lines/a01/a01-014u/a01-014u-01.png	./data/lines/a01/a01-014u/a01-014u-01.pt	169	112	1681	boycotting|the|London|talks|on|the	34
a01-014u-08	./data/lines/a01/a01-014u/a01-014u-08.png	./data/lines/a01/a01-014u/a01-014u-08.pt	165	68	637	at|Chequers|.	13
a01-014x-00	./data/lines/a01/a01-014x/a01-014x-00.png	./data/lines/a01/a01-014x/a01-014x-00.pt	197	188	1876	Sir|Roy's|United|Federal|Party|is|boycotting	44
a01-014x-02	./data/lines/a01/a01-014x/a01-014x-02.png	./data/lines/a01/a01-014x/a01-014x-02.pt	196	159	1805	future|.|Said|Mr.|Nkumbula|last|night|:	39
a01-014x-03	./data/lines/a01/a01-014x/a01-014x-03.png	./data/lines/a01/a01-014x/a01-014x-03.pt	189	162	1646	"|We|want|to|discuss|what|to|do|if|the	38
a01-014x-04	./data/lines/a01/a01-014x/a01-014x-04.png	./data/lines/a01/a01-014x/a01-014x-04.pt	187	188	1819	British|Government|gives|in|to|Sir|Roy	38
a01-014x-05	./data/lines/a01/a01-014x/a01-014x-05.png	./data/lines/a01/a01-014x/a01-014x-05.pt	193	163	1962	and|the|talks|fall|through|.|There|are|bound	44
a01-014x-06	./data/lines/a01/a01-014x/a01-014x-06.png	./data/lines/a01/a01-014x/a01-014x-06.pt	194	201	2017	to|be|demonstrations|.|"|Yesterday|Sir|Roy's	44
a01-014x-07	./data/lines/a01/a01-014x/a01-014x-07.png	./data/lines/a01/a01-014x/a01-014x-07.pt	188	168	1967	chief|aide|,|Mr.|Julius|Greenfield|,|telephoned	47
a01-014x-08	./data/lines/a01/a01-014x/a01-014x-08.png	./data/lines/a01/a01-014x/a01-014x-08.pt	184	146	1928	his|chief|a|report|on|his|talks|with|Mr.	40
a01-014x-09	./data/lines/a01/a01-014x/a01-014x-09.png	./data/lines/a01/a01-014x/a01-014x-09.pt	190	164	1185	Macmillan|at|Chequers|.	23
a01-020-03	./data/lines/a01/a01-020/a01-020-03.png	./data/lines/a01/a01-020/a01-020-03.pt	176	128	1753	to|the|Africans|and|Liberals|attending|.|These	46
a01-020-04	./data/lines/a01/a01-020/a01-020-04.png	./data/lines/a01/a01-020/a01-020-04.pt	176	114	1614	plans|do|not|give|the|Africans|the|overall	42
a01-020-05	./data/lines/a01/a01-020/a01-020-05.png	./data/lines/a01/a01-020/a01-020-05.pt	176	127	1722	majority|they|are|seeking|.|African|delegates	45
a01-020-06	./data/lines/a01/a01-020/a01-020-06.png	./data/lines/a01/a01-020/a01-020-06.pt	176	128	1612	are|studying|them|today|.|The|conference	40
a01-020-08	./data/lines/a01/a01-020/a01-020-08.png	./data/lines/a01/a01-020/a01-020-08.pt	176	91	1085	proposed|House|of|Chiefs|.	26
a01-020u-09	./data/lines/a01/a01-020u/a01-020u-09.png	./data/lines/a01/a01-020u/a01-020u-09.pt	168	79	838	House|of|Chiefs|.	17
a01-020x-00	./data/lines/a01/a01-020x/a01-020x-00.png	./data/lines/a01/a01-020x/a01-020x-00.pt	151	103	1589	Mr.|Macleod|went|on|with|the|conference|at	42
a01-020x-07	./data/lines/a01/a01-020x/a01-020x-07.png	./data/lines/a01/a01-020x/a01-020x-07.pt	153	113	1738	to|discuss|the|function|of|a|proposed|House	43
a01-020x-08	./data/lines/a01/a01-020x/a01-020x-08.png	./data/lines/a01/a01-020x/a01-020x-08.pt	152	93	360	of|Chiefs|.	11
a01-026-00	./data/lines/a01/a01-026/a01-026-00.png	./data/lines/a01/a01-026/a01-026-00.pt	182	110	1708	MR.|IAIN|MACLEOD|,|the|Colonial|Secretary|,|denied	50
a01-026-05	./data/lines/a01/a01-026/a01-026-05.png	./data/lines/a01/a01-026/a01-026-05.pt	182	112	1777	the|United|Federal|Party|and|the|Dominion|Party|.	49
a01-026-09	./data/lines/a01/a01-026/a01-026-09.png	./data/lines/a01/a01-026/a01-026-09.pt	182	63	497	Mr.|Macmillan|.	15
a01-026x-00	./data/lines/a01/a01-026x/a01-026x-00.png	./data/lines/a01/a01-026x/a01-026x-00.pt	192	187	1969	Mr.|Iain|Macleod|,|the|Colonial|Secretary|,|denied	50
a01-026x-01	./data/lines/a01/a01-026x/a01-026x-01.png	./data/lines/a01/a01-026x/a01-026x-01.pt	194	153	1904	in|the|Commons|last|night|that|there|have	41
a01-026x-02	./data/lines/a01/a01-026x/a01-026x-02.png	./data/lines/a01/a01-026x/a01-026x-02.pt	193	153	2094	been|secret|negotiations|on|the|Northern|Rhodesia's	51
a01-026x-03	./data/lines/a01/a01-026x/a01-026x-03.png	./data/lines/a01/a01-026x/a01-026x-03.pt	187	159	1819	future|.|The|Northern|Rhodesia|conference|in	44
a01-026x-06	./data/lines/a01/a01-026x/a01-026x-06.png	./data/lines/a01/a01-026x/a01-026x-06.pt	191	170	1994	and|the|Dominion|Party|.|But|representatives	44
a01-026x-07	./data/lines/a01/a01-026x/a01-026x-07.png	./data/lines/a01/a01-026x/a01-026x-07.pt	186	191	1919	of|Sir|Roy|Welensky|,|Prime|Minister|of|the	43
a01-026x-08	./data/lines/a01/a01-026x/a01-026x-08.png	./data/lines/a01/a01-026x/a01-026x-08.pt	182	166	1975	Central|African|Federation|,|went|to|Chequers	45
a01-030-06	./data/lines/a01/a01-030/a01-030-06.png	./data/lines/a01/a01-030/a01-030-06.pt	182	121	1842	said|Sir|Roy|had|no|right|to|delay|progress|in|the|talks|by	59
a01-030-07	./data/lines/a01/a01-030/a01-030-07.png	./data/lines/a01/a01-030/a01-030-07.pt	182	109	1373	refusing|to|sit|round|the|conference|table|.	44
a01-030x-02	./data/lines/a01/a01-030x/a01-030x-02.png	./data/lines/a01/a01-030x/a01-030x-02.pt	158	112	1670	meeting|.|But|he|told|M Ps|yesterday|:|"|I	42
a01-030x-03	./data/lines/a01/a01-030x/a01-030x-03.png	./data/lines/a01/a01-030x/a01-030x-03.pt	151	111	1721	have|no|knowledge|of|secret|negotiations|.|"|He	47
a01-030x-07	./data/lines/a01/a01-030x/a01-030x-07.png	./data/lines/a01/a01-030x/a01-030x-07.pt	155	106	1668	no|right|to|delay|progress|in|the|talks|by	42
a01-030x-08	./data/lines/a01/a01-030x/a01-030x-08.png	./data/lines/a01/a01-030x/a01-030x-08.pt	153	114	1664	refusing|to|sit|round|the|conference|table|.	44
a01-038-00	./data/lines/a01/a01-038/a01-038-00.png	./data/lines/a01/a01-038/a01-038-00.pt	182	117	1822	Mr.|Macleod|thought|the|two|Rhodesian	37
a01-038-01	./data/lines/a01/a01-038/a01-038-01.png	./data/lines/a01/a01-038/a01-038-01.pt	182	140	1835	parties|had|refused|to|attend|the|talks	39
a01-038-02	./data/lines/a01/a01-038/a01-038-02.png	./data/lines/a01/a01-038/a01-038-02.pt	182	137	1739	because|Sir|Roy|had|found|messages	34
a01-038-03	./data/lines/a01/a01-038/a01-038-03.png	./data/lines/a01/a01-038/a01-038-03.pt	182	155	1984	sent|from|the|Government|were|"|unsatisfac-	43
a01-038-05	./data/lines/a01/a01-038/a01-038-05.png	./data/lines/a01/a01-038/a01-038-05.pt	182	169	2014	day|called|on|Mr.|Macmillan|to|cease|his	40
a01-038-06	./data/lines/a01/a01-038/a01-038-06.png	./data/lines/a01/a01-038/a01-038-06.pt	182	155	1988	negotiations|with|Sir|Roy's|representative|,	44
a01-038-08	./data/lines/a01/a01-038/a01-038-08.png	./data/lines/a01/a01-038/a01-038-08.pt	182	133	1899	quers|last|week-end|.|They|said|they	36
a01-038-09	./data/lines/a01/a01-038/a01-038-09.png	./data/lines/a01/a01-038/a01-038-09.pt	182	143	1974	regarded|with|"|growing|anger|"|the|"|gross	43
a01-038-10	./data/lines/a01/a01-038/a01-038-10.png	./data/lines/a01/a01-038/a01-038-10.pt	182	135	1872	and|unconstitutional|"|interference|by	38
a01-038-11	./data/lines/a01/a01-038/a01-038-11.png	./data/lines/a01/a01-038/a01-038-11.pt	191	163	1931	Sir|Roy's|Federal|Government|in|the	35
a01-038-12	./data/lines/a01/a01-038/a01-038-12.png	./data/lines/a01/a01-038/a01-038-12.pt	182	77	307	talks|.	7
a01-038x-00	./data/lines/a01/a01-038x/a01-038x-00.png	./data/lines/a01/a01-038x/a01-038x-00.pt	185	196	1601	Mr.|Macleod|thought|the|two|Rhodesian|parties	45
a01-038x-01	./data/lines/a01/a01-038x/a01-038x-01.png	./data/lines/a01/a01-038x/a01-038x-01.pt	186	177	1627	had|refused|to|attend|the|talks|because|Sir|Roy	47
a01-038x-02	./data/lines/a01/a01-038x/a01-038x-02.png	./data/lines/a01/a01-038x/a01-038x-02.pt	185	169	1662	had|found|messages|sent|from|the|Government|were	48
a01-038x-04	./data/lines/a01/a01-038x/a01-038x-04.png	./data/lines/a01/a01-038x/a01-038x-04.pt	175	156	1638	called|on|Mr.|Macmillan|to|cease|his|negotiations|with	54
a01-038x-08	./data/lines/a01/a01-038x/a01-038x-08.png	./data/lines/a01/a01-038x/a01-038x-08.pt	176	168	1560	interference|by|Sir|Roy's|Federal|Government|in|the|talks|.	59
a01-043-00	./data/lines/a01/a01-043/a01-043-00.png	./data/lines/a01/a01-043/a01-043-00.pt	176	152	1674	Informal|talks|at|Lancaster|House|will	38
a01-043-01	./data/lines/a01/a01-043/a01-043-01.png	./data/lines/a01/a01-043/a01-043-01.pt	176	170	1832	resume|today|.|President|Kennedy|today	38
a01-043-02	./data/lines/a01/a01-043/a01-043-02.png	./data/lines/a01/a01-043/a01-043-02.pt	176	177	1839	defended|the|appointment|of|a|Negro|as	38
a01-043-03	./data/lines/a01/a01-043/a01-043-03.png	./data/lines/a01/a01-043/a01-043-03.pt	176	194	1898	his|Housing|Minister|.|It|has|aroused	37
a01-043-04	./data/lines/a01/a01-043/a01-043-04.png	./data/lines/a01/a01-043/a01-043-04.pt	176	176	1762	strong|opposition|from|the|anti-Negro	37
a01-043-07	./data/lines/a01/a01-043/a01-043-07.png	./data/lines/a01/a01-043/a01-043-07.pt	176	181	1873	of|his|tasks|will|be|to|see|there|is|no	39
a01-043-08	./data/lines/a01/a01-043/a01-043-08.png	./data/lines/a01/a01-043/a01-043-08.pt	176	199	1974	racial|discrimination|in|Government	35
a01-043-09	./data/lines/a01/a01-043/a01-043-09.png	./data/lines/a01/a01-043/a01-043-09.pt	176	198	1463	and|State|housing|projects|.	28
a01-043u-09	./data/lines/a01/a01-043u/a01-043u-09.png	./data/lines/a01/a01-043u/a01-043u-09.pt	166	86	357	projects|.	10
a01-043x-00	./data/lines/a01/a01-043x/a01-043x-00.png	./data/lines/a01/a01-043x/a01-043x-00.pt	181	158	1664	Informal|talks|at|Lancaster|House|will|resume	45
a01-043x-01	./data/lines/a01/a01-043x/a01-043x-01.png	./data/lines/a01/a01-043x/a01-043x-01.pt	177	206	1583	today|.|PRESIDENT|KENNEDY|today|defended	40
a01-043x-02	./data/lines/a01/a01-043x/a01-043x-02.png	./data/lines/a01/a01-043x/a01-043x-02.pt	178	186	1698	the|appointment|of|a|Negro|as|his|Housing|Minister|.	52
a01-043x-03	./data/lines/a01/a01-043x/a01-043x-03.png	./data/lines/a01/a01-043x/a01-043x-03.pt	171	158	1611	It|has|aroused|strong|opposition|from|the|anti-Negro	52
a01-043x-04	./data/lines/a01/a01-043x/a01-043x-04.png	./data/lines/a01/a01-043x/a01-043x-04.pt	168	176	1625	senators|of|the|Deep|South|.|The|negro|is|Mr.	45
a01-043x-05	./data/lines/a01/a01-043x/a01-043x-05.png	./data/lines/a01/a01-043x/a01-043x-05.pt	170	165	1571	Robert|Weaver|of|New|York|.|One|of|his|tasks	44
a01-043x-06	./data/lines/a01/a01-043x/a01-043x-06.png	./data/lines/a01/a01-043x/a01-043x-06.pt	175	123	1456	will|be|to|see|there|is|no|racial|discrimination	48
a01-043x-07	./data/lines/a01/a01-043x/a01-043x-07.png	./data/lines/a01/a01-043x/a01-043x-07.pt	171	170	1310	in|Government|and|State|housing|projects|.	42
a01-049-00	./data/lines/a01/a01-049/a01-049-00.png	./data/lines/a01/a01-049/a01-049-00.pt	176	204	1914	Senator|Allen|Ellender|of|Louisiana|sparked	43
a01-049-01	./data/lines/a01/a01-049/a01-049-01.png	./data/lines/a01/a01-049/a01-049-01.pt	176	169	1657	off|the|opposition|by|telling|a|television	42
a01-049-02	./data/lines/a01/a01-049/a01-049-02.png	./data/lines/a01/a01-049/a01-049-02.pt	176	186	1840	audience|it|was|"|current|Washington|gossip|"	45
a01-049-03	./data/lines/a01/a01-049/a01-049-03.png	./data/lines/a01/a01-049/a01-049-03.pt	176	194	1955	that|Weaver|once|had|Communist|affiliations|.	45
a01-049-04	./data/lines/a01/a01-049/a01-049-04.png	./data/lines/a01/a01-049/a01-049-04.pt	176	168	1992	The|Senate|Banking|Committee|,|which|is|headed	46
a01-049-05	./data/lines/a01/a01-049/a01-049-05.png	./data/lines/a01/a01-049/a01-049-05.pt	176	193	1950	by|another|Southern|Senator|-|Willis|Robertson|,	48
a01-049-06	./data/lines/a01/a01-049/a01-049-06.png	./data/lines/a01/a01-049/a01-049-06.pt	176	178	1912	of|Virginia|-|met|today|in|closed|session	41
a01-049-09	./data/lines/a01/a01-049/a01-049-09.png	./data/lines/a01/a01-049/a01-049-09.pt	176	170	2083	to|Mr.|Kennedy|saying|he|had|received|several	45
a01-049x-10	./data/lines/a01/a01-049x/a01-049x-10.png	./data/lines/a01/a01-049x/a01-049x-10.pt	171	118	1637	complaints|about|Weaver's|loyalty|.	35
a01-053-01	./data/lines/a01/a01-053/a01-053-01.png	./data/lines/a01/a01-053/a01-053-01.pt	152	182	1886	alleged|association|with|organisations|black-	45
a01-053-02	./data/lines/a01/a01-053/a01-053-02.png	./data/lines/a01/a01-053/a01-053-02.pt	152	177	1770	listed|by|the|Government|.|Immediately	38
a01-053-03	./data/lines/a01/a01-053/a01-053-03.png	./data/lines/a01/a01-053/a01-053-03.pt	152	172	1659	Mr.|Kennedy|rushed|a|letter|to|Senator	38
a01-053-06	./data/lines/a01/a01-053/a01-053-06.png	./data/lines/a01/a01-053/a01-053-06.pt	152	191	1876	He|believed|he|would|perform|"|outstanding	42
a01-053-07	./data/lines/a01/a01-053/a01-053-07.png	./data/lines/a01/a01-053/a01-053-07.pt	152	183	1832	service|"|in|his|post|.|Senator|Robertson's	43
a01-053-09	./data/lines/a01/a01-053/a01-053-09.png	./data/lines/a01/a01-053/a01-053-09.pt	152	132	1678	nomination|before|it|can|be|con-	32
a01-053x-02	./data/lines/a01/a01-053x/a01-053x-02.png	./data/lines/a01/a01-053x/a01-053x-02.pt	171	170	1829	Government|.|Immediately|Mr.|Kennedy|rushed|a|letter	52
a01-053x-03	./data/lines/a01/a01-053x/a01-053x-03.png	./data/lines/a01/a01-053x/a01-053x-03.pt	169	134	1789	to|Senator|Robertson|saying|the|Federal|Bureau	46
a01-053x-04	./data/lines/a01/a01-053x/a01-053x-04.png	./data/lines/a01/a01-053x/a01-053x-04.pt	164	135	1793	of|Investigation|had|reported|on|Mr.|Weaver|.	45
a01-053x-05	./data/lines/a01/a01-053x/a01-053x-05.png	./data/lines/a01/a01-053x/a01-053x-05.pt	174	154	1599	He|believed|he|would|perform|"|outstanding	42
a01-053x-06	./data/lines/a01/a01-053x/a01-053x-06.png	./data/lines/a01/a01-053x/a01-053x-06.pt	176	140	1531	service|"|in|his|post|.|Senator|Robertson's	43
a01-053x-07	./data/lines/a01/a01-053x/a01-053x-07.png	./data/lines/a01/a01-053x/a01-053x-07.pt	165	115	1408	committee|has|to|pass|Mr.|Weaver's	34
a01-053x-08	./data/lines/a01/a01-053x/a01-053x-08.png	./data/lines/a01/a01-053x/a01-053x-08.pt	168	134	1793	nomination|before|it|can|be|considered|by|the	45
a01-053x-09	./data/lines/a01/a01-053x/a01-053x-09.png	./data/lines/a01/a01-053x/a01-053x-09.pt	174	116	482	full|Senate|.	13
a01-058-00	./data/lines/a01/a01-058/a01-058-00.png	./data/lines/a01/a01-058/a01-058-00.pt	152	170	1766	PRESIDENT|KENNEDY|is|ready|to|get|tough	39
a01-058-01	./data/lines/a01/a01-058/a01-058-01.png	./data/lines/a01/a01-058/a01-058-01.pt	152	200	1761	over|West|Germany's|cash|offer|to|help	38
a01-058-03	./data/lines/a01/a01-058/a01-058-03.png	./data/lines/a01/a01-058/a01-058-03.pt	152	194	1826	He|said|bluntly|in|Washington|yester-	37
a01-058-04	./data/lines/a01/a01-058/a01-058-04.png	./data/lines/a01/a01-058/a01-058-04.pt	152	182	1823	day|that|the|offer|-|357million|-|was	37
a01-058-07	./data/lines/a01/a01-058/a01-058-07.png	./data/lines/a01/a01-058/a01-058-07.pt	152	194	1695	Germany|to|pay|more|.|He|did|not	32
a01-058-08	./data/lines/a01/a01-058/a01-058-08.png	./data/lines/a01/a01-058/a01-058-08.pt	152	186	1562	mention|personal|talks|with|Dr.	31
a01-058-09	./data/lines/a01/a01-058/a01-058-09.png	./data/lines/a01/a01-058/a01-058-09.pt	152	163	1870	Adenauer|,|the|West|German|Chancellor|.	39
a01-058x-00	./data/lines/a01/a01-058x/a01-058x-00.png	./data/lines/a01/a01-058x/a01-058x-00.pt	174	181	1630	PRESIDENT|KENNEDY|is|ready|to|get	33
a01-058x-01	./data/lines/a01/a01-058x/a01-058x-01.png	./data/lines/a01/a01-058x/a01-058x-01.pt	176	170	1692	tough|over|West|Germany's|cash|offer|to	39
a01-058x-02	./data/lines/a01/a01-058x/a01-058x-02.png	./data/lines/a01/a01-058x/a01-058x-02.pt	174	161	1735	help|America's|balance|of|payments|position	43
a01-058x-03	./data/lines/a01/a01-058x/a01-058x-03.png	./data/lines/a01/a01-058x/a01-058x-03.pt	174	171	1608	He|said|bluntly|in|Washington|yesterday	39
a01-058x-04	./data/lines/a01/a01-058x/a01-058x-04.png	./data/lines/a01/a01-058x/a01-058x-04.pt	173	183	1817	that|the|offer|-|357million|-|was|not|good	42
a01-058x-05	./data/lines/a01/a01-058x/a01-058x-05.png	./data/lines/a01/a01-058x/a01-058x-05.pt	164	169	1503	enough|.|And|he|indicated|that|his	34
a01-058x-06	./data/lines/a01/a01-058x/a01-058x-06.png	./data/lines/a01/a01-058x/a01-058x-06.pt	177	198	1759	Government|would|try|to|get|Germany|to	38
a01-058x-07	./data/lines/a01/a01-058x/a01-058x-07.png	./data/lines/a01/a01-058x/a01-058x-07.pt	177	167	1689	pay|more|.|He|did|not|mention|personal	38
a01-058x-08	./data/lines/a01/a01-058x/a01-058x-08.png	./data/lines/a01/a01-058x/a01-058x-08.pt	170	120	1579	talks|with|Dr.|Adenauer|,|the|West	34
a01-058x-09	./data/lines/a01/a01-058x/a01-058x-09.png	./data/lines/a01/a01-058x/a01-058x-09.pt	167	178	789	German|Chancellor|.	19
a01-063-00	./data/lines/a01/a01-063/a01-063-00.png	./data/lines/a01/a01-063/a01-063-00.pt	152	169	1696	But|he|said|discussions|"|on|a|higher	37
a01-063-02	./data/lines/a01/a01-063/a01-063-02.png	./data/lines/a01/a01-063/a01-063-02.pt	152	195	1680	useful|.|The|President|will|probably	36
a01-063-03	./data/lines/a01/a01-063/a01-063-03.png	./data/lines/a01/a01-063/a01-063-03.pt	152	172	1751	discuss|the|problem|with|Dr.|Brentano|,	39
a01-063-04	./data/lines/a01/a01-063/a01-063-04.png	./data/lines/a01/a01-063/a01-063-04.pt	152	193	1834	the|West|German|Foreign|Minister|,|who|is	41
a01-063-05	./data/lines/a01/a01-063/a01-063-05.png	./data/lines/a01/a01-063/a01-063-05.pt	152	191	1692	due|in|Washington|next|week|.|A|big	35
a01-063-07	./data/lines/a01/a01-063/a01-063-07.png	./data/lines/a01/a01-063/a01-063-07.pt	152	183	2042	payment|of|a|210million|debt|to|America|.	41
